account_age_days,credit_score_band,kyc_level,avg_monthly_spend,merchant_risk_score,transaction_amount,payment_channel,device_type,is_international,ip_risk_score,txn_count_1h,txn_count_24h,failed_txn_count_24h,geo_distance_from_last_txn,amount_deviation_from_user_mean,post_auth_risk_score,is_fraud,predicted_label,fraud_probability,result
1639,1,1,4997.893185,0.07468,1013.817202,card,desktop,0,0.570155,1,3,0,22.676942,847.220763,0.062763,0,0,0.0,Correct
769,1,3,1937.55403,0.314753,2042.308691,card,desktop,0,0.09179,2,4,0,47.676156,1977.723557,0.188164,0,0,0.0,Correct
887,2,2,842.205023,0.156763,2065.471534,card,mobile,0,0.116691,1,5,1,62.364272,2037.398033,0.147319,0,0,0.0,Correct
1040,5,2,1342.930556,0.347084,7980.50389,upi,mobile,0,0.539225,0,0,0,4.310644,7935.739538,0.332579,0,0,0.0001,Correct
910,4,3,3143.700711,0.485787,1392.808448,card,mobile,0,0.402297,1,4,2,9.353176,1288.018424,0.031358,0,0,0.0,Correct
663,3,1,5869.349515,0.444982,2831.216748,card,mobile,0,0.444969,1,3,1,12.791699,2635.571764,0.374134,0,0,0.001,Correct
1168,2,2,9159.768339,0.104981,589.248852,upi,mobile,0,0.115055,4,3,0,18.006952,283.923241,0.04674,0,0,0.0,Correct
207,4,2,4754.598435,0.446364,1593.755808,card,mobile,0,0.216466,2,4,0,2.041121,1435.269194,0.186008,0,0,0.0,Correct
356,5,2,3754.604366,0.152986,2535.627048,wallet,mobile,0,0.140634,3,3,0,32.609812,2410.473569,0.176218,0,0,0.0,Correct
328,1,1,3265.425407,0.477495,721.786574,bank_transfer,mobile,0,0.270674,0,5,0,4.99569,612.93906,0.15895,0,0,0.0,Correct
1985,4,2,2679.130462,0.328897,762.792756,upi,mobile,0,0.283795,3,2,1,25.460397,673.488408,0.306878,0,0,0.0001,Correct
1106,4,2,8866.905076,0.124712,4543.505475,card,mobile,0,0.389965,1,0,2,25.157851,4247.941973,0.197247,0,0,0.0,Correct
1308,1,1,5117.996252,0.402651,2652.536811,card,mobile,0,0.130458,2,3,0,14.244861,2481.936936,0.283234,0,0,0.0,Correct
1485,3,2,649.330656,0.250312,393.623465,card,desktop,0,0.490394,2,3,0,6.607254,371.97911,0.092644,0,0,0.0,Correct
1715,5,1,4975.00916,0.372612,317.637023,card,mobile,0,0.585913,1,3,2,27.735957,151.803384,0.142596,0,0,0.0,Correct
402,2,3,4365.215284,0.10087,1374.317627,card,tablet,0,0.451821,2,5,0,25.057939,1228.810451,0.287118,0,0,0.0002,Correct
1100,2,3,6938.688793,0.21418,9585.783459,card,desktop,0,0.039865,1,3,0,25.453521,9354.493832,0.396566,0,0,0.0013,Correct
586,5,2,4123.808499,0.38108,1532.967508,upi,mobile,0,0.554097,3,4,0,19.473707,1395.507224,0.003115,0,0,0.0,Correct
263,4,1,13372.643823,0.172642,1336.348896,wallet,mobile,0,0.207246,1,3,0,45.215035,890.594102,0.211986,0,0,0.0,Correct
58,5,2,2129.663335,0.242521,1551.95461,upi,tablet,0,0.389295,2,3,0,23.70416,1480.965832,0.295443,0,0,0.0001,Correct
1484,4,1,5330.464797,0.293448,1656.784358,card,mobile,0,0.307169,0,3,0,28.046545,1479.102198,0.255393,0,0,0.0,Correct
1145,4,1,6248.248651,0.207404,1571.613585,card,mobile,0,0.372722,0,1,0,74.946018,1363.33863,0.031045,0,0,0.0,Correct
1607,5,1,1154.052721,0.030004,6295.979524,wallet,mobile,0,0.116944,2,4,0,34.84709,6257.5111,0.348931,0,0,0.0003,Correct
1668,4,3,3048.590154,0.28251,3390.445608,card,mobile,0,0.163219,2,3,0,32.488696,3288.825936,0.329348,0,0,0.0001,Correct
824,4,1,2801.315657,0.033824,5014.278327,upi,desktop,0,0.147551,2,3,0,32.624961,4920.901138,0.153543,0,0,0.0,Correct
1313,2,3,2831.884161,0.090693,1740.844691,upi,desktop,0,0.060998,0,6,1,13.18342,1646.448552,0.050778,0,0,0.0,Correct
974,1,1,4443.600775,0.181168,2884.401757,bank_transfer,mobile,0,0.230718,3,4,0,26.713827,2736.281731,0.098145,0,0,0.0,Correct
525,2,3,4168.726036,0.158248,2551.582633,card,mobile,0,0.487716,1,4,2,10.487074,2412.625098,0.355467,0,0,0.0006,Correct
1125,1,1,5838.43119,0.103327,2008.224372,card,mobile,0,0.244254,1,2,0,27.706548,1813.609999,0.325875,0,0,0.0001,Correct
652,2,1,1309.925724,0.151182,4617.593956,upi,mobile,0,0.207971,1,8,0,21.398229,4573.929765,0.178869,0,0,0.0,Correct
1332,2,3,2834.793478,0.236555,2044.181911,card,mobile,0,0.260757,1,2,0,6.105806,1949.688795,0.170819,0,0,0.0,Correct
1423,2,2,538.609443,0.085342,469.698925,card,mobile,0,0.086857,1,1,0,65.2728,451.745277,0.253761,0,0,0.0,Correct
1496,4,1,4774.448369,0.114333,7193.281718,card,mobile,0,0.312686,1,5,1,25.474312,7034.133439,0.248916,0,0,0.0,Correct
1292,3,2,9334.355289,0.28684,3043.508998,upi,mobile,0,0.191167,0,1,0,42.182526,2732.363822,0.096838,0,0,0.0,Correct
258,4,1,1810.039127,0.347077,654.540038,wallet,mobile,0,0.444564,1,3,1,15.905166,594.2054,0.085266,0,0,0.0,Correct
512,1,3,3412.16143,0.320355,1646.967407,wallet,mobile,0,0.097633,0,2,0,5.235551,1533.228692,0.07916,0,0,0.0,Correct
909,1,1,2328.299485,0.424742,4010.969128,upi,mobile,0,0.619668,0,8,0,76.529722,3933.359145,0.981472,1,1,1.0,Correct
1203,4,1,3544.966307,0.072874,1063.419827,card,desktop,0,0.150945,1,1,0,47.760749,945.254283,0.177076,0,0,0.0,Correct
1772,5,3,11873.581285,0.084459,3278.475726,card,desktop,1,0.192871,0,5,0,36.361416,2882.689683,0.263687,0,0,0.0,Correct
1644,1,2,9625.443349,0.360245,802.287303,bank_transfer,mobile,0,0.142688,2,3,0,21.246178,481.439192,0.02592,0,0,0.0,Correct
1653,5,3,1592.374263,0.229852,1405.507631,bank_transfer,desktop,0,0.712533,1,4,1,50.242751,1352.428489,0.339943,0,0,0.0004,Correct
281,4,1,5870.92711,0.298897,1802.781411,card,mobile,0,0.667678,0,0,0,78.433908,1607.083841,0.077207,0,0,0.0,Correct
284,2,1,2454.023299,0.085046,4513.229361,card,mobile,0,0.533692,2,2,0,24.093703,4431.428585,0.332299,0,0,0.0001,Correct
1102,2,1,15485.377475,0.354236,3240.041874,card,desktop,0,0.323943,2,2,1,5.609576,2723.862625,0.240132,0,0,0.0,Correct
776,5,3,3817.878876,0.439443,845.723308,card,mobile,0,0.135295,0,5,1,58.362217,718.460679,0.29127,0,0,0.0,Correct
921,3,2,2788.704679,0.255621,2781.423738,upi,mobile,0,0.324426,1,4,0,62.743314,2688.466915,0.002731,0,0,0.0,Correct
1690,1,3,5836.656967,0.262153,4248.121461,card,mobile,0,0.328195,0,3,0,36.924515,4053.566228,0.052686,0,0,0.0,Correct
1195,1,1,2696.297579,0.259595,983.154212,card,mobile,0,0.256369,0,4,0,33.623791,893.277626,0.320581,0,0,0.0001,Correct
176,1,3,3789.457808,0.069185,591.326265,wallet,mobile,0,0.189008,1,4,0,24.991599,465.011004,0.037739,0,0,0.0,Correct
473,3,2,2271.431467,0.539628,1129.939847,card,mobile,1,0.65506,1,2,0,17.768095,1054.225464,0.001383,0,0,0.0,Correct
195,1,2,3647.099253,0.206595,2395.868012,card,mobile,0,0.066493,2,1,0,93.383901,2274.298037,0.184417,0,0,0.0,Correct
1490,4,1,2606.996978,0.058768,1364.354419,wallet,mobile,0,0.554993,2,4,1,39.834412,1277.454519,0.000195,0,0,0.0,Correct
643,3,1,3038.013025,0.474797,900.264842,upi,mobile,0,0.389758,2,7,0,11.792469,798.997741,0.103391,0,0,0.0,Correct
1895,5,3,7111.988429,0.187353,2392.668831,card,mobile,0,0.226044,1,2,1,62.853049,2155.60255,0.05565,0,0,0.0,Correct
510,3,2,5007.95502,0.189188,917.708862,card,desktop,0,0.051703,2,3,0,50.205207,750.777028,0.105906,0,0,0.0,Correct
1194,2,2,4245.176182,0.071624,599.218887,wallet,mobile,0,0.215403,1,1,0,64.876218,457.713015,0.002052,0,0,0.0,Correct
1924,3,2,11944.169131,0.489357,1479.700504,wallet,desktop,0,0.333205,3,3,0,0.478699,1081.561533,0.224998,0,0,0.0,Correct
372,3,3,3287.902757,0.116056,2032.647929,card,mobile,1,0.121665,0,5,0,25.068418,1923.05117,0.368189,0,0,0.0012,Correct
1231,1,3,3410.317313,0.171977,1621.788326,card,mobile,0,0.327629,0,5,0,66.114663,1508.111082,0.088052,0,0,0.0,Correct
1589,2,2,11569.797921,0.289246,3605.340942,card,mobile,0,0.079529,1,0,0,16.313645,3219.681011,0.345007,0,0,0.0001,Correct
870,1,3,8479.447824,0.13408,519.637762,wallet,mobile,0,0.548724,1,3,0,49.526595,236.989501,0.35909,0,0,0.0005,Correct
528,3,2,11616.626444,0.052809,1896.954869,card,mobile,0,0.186228,0,1,0,28.122853,1509.733988,0.23943,0,0,0.0,Correct
1708,3,3,5614.431171,0.149943,6383.061146,bank_transfer,mobile,0,0.44159,1,1,1,61.57957,6195.91344,0.270541,0,0,0.0,Correct
1408,4,3,2933.329806,0.110346,821.530071,card,tablet,0,0.018055,3,2,0,11.536237,723.752411,0.348948,0,0,0.001,Correct
273,5,3,3882.661997,0.139704,3389.427008,card,desktop,0,0.361031,0,2,0,17.94199,3260.004942,0.151904,0,0,0.0,Correct
969,2,2,4296.156512,0.181977,823.961564,upi,mobile,0,0.280287,0,5,0,20.220476,680.756347,0.123027,0,0,0.0,Correct
1682,4,1,7383.455526,0.3723,1815.796177,bank_transfer,mobile,0,0.087384,0,4,0,45.098587,1569.680992,0.29049,0,0,0.0,Correct
122,1,1,1060.263193,0.375316,1189.582813,card,desktop,0,0.216833,0,4,1,91.139055,1154.240706,0.238495,0,0,0.0,Correct
463,5,2,11121.117244,0.220298,1734.922066,upi,mobile,1,0.116127,1,3,1,13.833342,1364.218158,0.33929,0,0,0.0003,Correct
1982,4,1,5237.17375,0.129654,2955.180847,upi,mobile,0,0.76254,3,5,2,74.566747,2780.608389,0.181109,0,0,0.0,Correct
641,3,1,7561.537223,0.370529,1142.410456,bank_transfer,mobile,0,0.068737,1,4,0,18.567669,890.359215,0.228858,0,0,0.0,Correct
535,2,2,4716.472804,0.102173,5404.505872,upi,mobile,0,0.276371,2,5,1,7.457047,5247.290112,0.387245,0,0,0.0017,Correct
428,5,1,5344.554217,0.310185,2502.944001,upi,desktop,0,0.188932,1,1,0,0.920201,2324.792194,0.0653,0,0,0.0,Correct
636,2,3,3312.115126,0.08403,1518.881356,card,mobile,0,0.343446,0,2,0,26.432343,1408.477518,0.370483,0,0,0.0005,Correct
1416,1,3,4353.067752,0.18333,2526.21339,card,mobile,0,0.297076,2,3,2,13.001264,2381.111131,0.087949,0,0,0.0,Correct
1070,1,2,5951.79049,0.337562,124.051869,card,tablet,0,0.301978,2,5,0,1.436003,-74.341148,0.036217,0,0,0.0,Correct
780,3,2,1741.958857,0.198766,3353.077154,wallet,mobile,0,0.234051,1,3,0,54.539939,3295.011859,0.24967,0,0,0.0,Correct
1124,2,1,8041.3984,0.119584,3777.244264,card,mobile,0,0.28714,0,4,0,16.558884,3509.197651,0.053438,0,0,0.0,Correct
551,1,3,2382.739256,0.512349,3181.833805,card,desktop,0,0.695911,1,5,0,59.309863,3102.409163,0.245365,0,0,0.0,Correct
313,4,2,1797.393107,0.074942,3156.881361,upi,mobile,0,0.094796,1,3,0,27.421509,3096.968257,0.348918,0,0,0.0002,Correct
1592,2,3,3181.944015,0.154988,1431.850175,card,desktop,1,0.037675,0,5,0,45.265662,1325.785374,0.080882,0,0,0.0,Correct
917,2,2,5130.863986,0.163234,964.863474,card,mobile,1,0.28394,0,3,0,25.764294,793.834675,0.089983,0,0,0.0,Correct
999,3,1,2164.852679,0.358838,2645.313284,wallet,tablet,0,0.081926,0,3,0,38.119262,2573.151528,0.11525,0,0,0.0,Correct
696,5,2,12608.694557,0.505719,4220.566968,card,desktop,0,0.210037,0,5,0,49.460536,3800.27715,0.123674,0,0,0.0,Correct
1497,3,2,3998.146227,0.371663,1882.645038,card,mobile,0,0.523511,0,2,0,84.407722,1749.373497,0.296489,0,0,0.0,Correct
653,1,3,8321.494282,0.222105,315.871945,upi,desktop,0,0.683627,2,1,0,17.807975,38.488803,0.100208,0,0,0.0,Correct
1133,5,3,11770.158604,0.140939,2093.753417,upi,desktop,0,0.608577,1,2,1,18.789727,1701.414797,0.251871,0,0,0.0,Correct
722,4,3,3552.052584,0.136571,1325.588237,card,mobile,0,0.65008,3,3,0,75.225927,1207.186484,0.166985,0,0,0.0,Correct
1394,1,1,2415.441379,0.07869,1295.183868,card,desktop,0,0.184929,0,7,1,51.745287,1214.669155,0.115528,0,0,0.0,Correct
416,5,3,6762.262165,0.052162,1609.364799,wallet,desktop,0,0.145667,4,3,0,32.237557,1383.95606,0.314364,0,0,0.0001,Correct
380,5,3,5310.327982,0.104527,423.883692,upi,desktop,0,0.307093,1,3,1,68.788048,246.872759,0.012694,0,0,0.0,Correct
856,5,2,8576.594319,0.128448,1115.387302,wallet,desktop,0,0.460996,0,1,1,21.297019,829.500825,0.309113,0,0,0.0,Correct
1888,2,3,3258.625431,0.225002,202.108112,card,mobile,0,0.203086,1,1,1,32.538597,93.487264,0.032928,0,0,0.0,Correct
1957,5,2,3036.067575,0.061209,1886.394638,upi,desktop,1,0.448361,0,4,0,1.643306,1785.192386,0.242286,0,0,0.0,Correct
1381,4,2,1100.385567,0.131304,2638.067176,card,mobile,0,0.145859,1,5,0,79.623885,2601.387657,0.013652,0,0,0.0,Correct
1209,2,2,3308.353598,0.260914,1614.830546,upi,mobile,0,0.037604,2,5,1,25.229117,1504.552093,0.183301,0,0,0.0,Correct
1868,4,2,4448.497382,0.249479,3725.80446,bank_transfer,mobile,0,0.173405,4,3,0,78.974575,3577.521214,0.379656,0,0,0.0014,Correct
1276,3,1,4831.106855,0.165021,669.086707,wallet,mobile,0,0.302102,2,4,2,23.601349,508.049812,0.113605,0,0,0.0,Correct
1318,3,3,2618.185091,0.205928,2272.490055,card,mobile,0,0.487731,1,1,0,25.608361,2185.217219,0.202005,0,0,0.0,Correct
1329,2,2,6871.646923,0.364034,1982.267381,wallet,mobile,0,0.515233,0,5,0,6.166014,1753.212483,0.088521,0,0,0.0,Correct
910,1,3,2396.303226,0.213309,2492.503339,wallet,desktop,0,0.444358,0,1,0,2.562665,2412.626565,0.127264,0,0,0.0,Correct
1005,5,3,5975.810923,0.069008,1441.133618,card,mobile,0,0.064675,0,5,0,55.001963,1241.939921,0.391957,0,0,0.0018,Correct
227,3,3,2965.284596,0.24543,1342.85221,card,mobile,0,0.212646,1,3,1,20.973727,1244.00939,0.14037,0,0,0.0,Correct
1648,4,3,4796.84694,0.342105,4382.746726,wallet,mobile,0,0.25364,2,5,0,72.646666,4222.851828,0.078829,0,0,0.0,Correct
1808,2,1,2658.60397,0.108441,1116.675402,card,mobile,0,0.278002,2,2,0,22.950541,1028.05527,0.182556,0,0,0.0,Correct
1565,5,1,2446.910502,0.292328,1605.82243,upi,mobile,1,0.549763,1,1,0,6.509062,1524.258747,0.198306,0,0,0.0,Correct
1065,5,3,2650.654224,0.351278,1577.22264,upi,mobile,1,0.340033,2,2,0,6.788921,1488.867499,0.278166,0,0,0.0,Correct
1178,4,1,4246.547177,0.16969,3088.893456,card,mobile,0,0.200549,0,3,0,46.360474,2947.341883,0.137375,0,0,0.0,Correct
1909,2,3,3645.558727,0.329731,1833.95941,card,desktop,1,0.084843,0,0,0,56.457568,1712.440786,0.351768,0,0,0.0003,Correct
440,1,2,1280.417052,0.235082,3383.518707,card,mobile,0,0.193745,2,3,1,60.351341,3340.838139,0.3666,0,0,0.0005,Correct
1377,5,1,3859.806406,0.078867,2143.087722,card,mobile,0,0.730295,2,4,0,72.425012,2014.427509,0.315291,0,0,0.0001,Correct
1053,2,3,5953.084759,0.278455,6610.110425,bank_transfer,mobile,0,0.194029,1,2,1,33.745346,6411.674266,0.248472,0,0,0.0,Correct
1286,3,1,4537.616555,0.420501,2262.370235,card,mobile,0,0.177095,0,3,0,14.750731,2111.11635,0.346628,0,0,0.0003,Correct
1686,3,3,460.085588,0.141448,1483.480733,card,tablet,0,0.464255,2,1,0,37.913724,1468.144547,0.33959,0,0,0.0006,Correct
793,5,2,3056.135902,0.274907,3731.585517,card,desktop,0,0.231046,2,5,0,21.790105,3629.714321,0.139527,0,0,0.0,Correct
965,3,2,3018.542004,0.264368,3296.181409,card,desktop,0,0.035077,1,2,0,5.883075,3195.563342,0.089786,0,0,0.0,Correct
156,2,2,10403.230737,0.121397,2268.3036,bank_transfer,mobile,0,0.297035,1,6,0,34.94339,1921.529242,0.344406,0,0,0.0005,Correct
1223,3,2,4267.07809,0.102839,61.442345,upi,mobile,0,0.415456,1,6,0,8.003471,-80.793592,0.304752,0,0,0.0001,Correct
1588,4,3,3919.069867,0.386879,2365.637609,card,mobile,0,0.593206,1,2,1,11.31299,2235.001947,0.170318,0,0,0.0,Correct
